StartDate,EndDate,Duration (in seconds),ResponseId,LocationLatitude,LocationLongitude,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q13,Q14,Q15,Q16,Q17,Q18,Q26,Q27,Q28,Q29,Q20,Q21,Q18.1,Q19
2025,2025,78,599876620b911ec5ba7f8960bfbf485aaef6e0b281060e2a9e4236f165390efa,44.47,-92.6027,4d2636ad20c055a0424fc4b05384b67c0fddd7345505b86e42f37e936deadea9,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,0-1 days a month,1-2 rides in a typical day,0-1 days a month,1-2 rides in a typical day,,,,
2025,2025,80,f9eccfc96e1737935118ade894edce866957400fa2e3da4dae38eaced08dff4d,33.833200000000005,-111.9048,8ec2aa78954708560b4a0131051b6fa636a8043865e3ef2fe094bd5c09f71042,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,2-4 days a month,1-2 rides in a typical day,4-8 days a month,3-4 rides in a typical day,,,,
2025,2025,68,66a2ee6c4d2f7cb02f5901319dacabfc1977e1639dce60cbe79dc37e2ce35b3d,34.7196,-81.5487,b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Never,1-2 rides in a typical day,0-1 days a month,1-2 rides in a typical day,,,,
2025,2025,115,b8565f331e655a129b9214b9c516717b6e71468a234eb40e833f8cec9ae1d46d,38.8969,-77.6803,0f875094985719584b30014d70892ff6e6fec6010cf00e3f6818f1b1233ad913,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,2-4 days a month,1-2 rides in a typical day,0-1 days a month,1-2 rides in a typical day,,,,
2025,2025,90,e98b404e2836bca62fdd682cafcbe3581ba3fe7ad56d4f968ae7bf2843211281,42.7086,-72.60310000000001,aac87b1d9f02e48da0b94297f1353bec2c0057d8ca6e15616562b9303d3aec69,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,4-8 days a month,1-2 rides in a typical day,4-8 days a month,1-2 rides in a typical day,,,,
2025,2025,93,9d535518f5f8b7677aa0b6419e2b4a6df9e236cbd441edd66bdb82b3e6eea0fa,40.5103,-74.7953,bf717b718324d175a28000b02af82bcee0a92a5c8a79810cd3b568c7f10d1ca3,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,8 or more days a month,1-2 rides in a typical day,4-8 days a month,1-2 rides in a typical day,,,,
2025,2025,107,0db9343f6306b40a638dbabcdd0c610c5e9ba8f25b6c71fc60b1078b469e2706,38.642,-87.6614,d2af37fe6b096a9432f93581a6efd91214c2a8c619c9ec97e02e964e966643c3,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,2-4 days a month,1-2 rides in a typical day,2-4 days a month,1-2 rides in a typical day,,,,
2025,2025,101,b356f795510cef659cbcde1c09ce563f8e81eaf09e7f4633342a534c53dcb593,43.3219,-83.0244,59dea5c3f2e3276aab6f50041b86f8e020c35d1c81db330d765202feb0dd6b4c,,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,,Strongly agree,4-8 days a month,3-4 rides in a typical day,4-8 days a month,1-2 rides in a typical day,,,,
2025,2025,61,d82c27fccedaad8ac7606abd55674e019ee1d8e60026d704c39fcf740fa263df,39.850300000000004,-75.8253,74cdd143e43b6f3acdefaab72f024f252daf345eea4ef641ec4418114fb420d0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,2-4 days a month,3-4 rides in a typical day,4-8 days a month,5-6 rides in a typical day,,,,
2025,2025,165,8b2aab2671fd48447585f0ceda69225e04532834db25654d756029247fadfc6f,33.415800000000004,-119.0493,ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,2-4 days a month,3-4 rides in a typical day,0-1 days a month,3-4 rides in a typical day,,,,
2025,2025,98,5af3b9f112f114a24daff3203d8f508431e26272b2b1376312d6f02dc501431b,40.3603,-76.2653,101776c41cd2dbbac39a0721e0a6543cace6154f90cebb6f81fe9023487b2520,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,8 or more days a month,3-4 rides in a typical day,8 or more days a month,3-4 rides in a typical day,,,,
2025,2025,104,a79d05252b77c5e62ee23ba8e9025070b5d1fde4a17aa265ad88f0612fc08c1d,41.3514,-75.8519,be2320c1076e2b66cb5cad7a6f8b704b80d4a32b864889e7791a0b35dda0dde0,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,0-1 days a month,1-2 rides in a typical day,Never,1-2 rides in a typical day,,,,
2025,2025,89,755ddef33648d9a652dec2ca6fc0f7793a67467af2f16cc88a13b7443cf43ced,42.2047,-76.5511,2ec6d46dd4fd933499847e83eb4d8322bca18d5440e8a5967652996718052950,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Never,1-2 rides in a typical day,Never,1-2 rides in a typical day,,,,
2025,2025,106,a92307155683f2452d2b2c4e0fb5d67ecd0b025535f161103581e3de08b6b332,33.524100000000004,-85.0535,aaa6f524430a151ba1346063fefcec7823ad279947861eb5b31ce4da9889eb92,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,4-8 days a month,1-2 rides in a typical day,4-8 days a month,1-2 rides in a typical day,,,,
2025,2025,143,f3bce1d55c72a56cb5ee44107e3945ff8289eb1b4df1298e63af48622a6a5934,41.2335,-87.9005,10411c7dda46b02f1668814bf8cd9b0170f92c9a06e017120a022e6bb09da73e,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,Strongly agree,Somewhat agree,0-1 days a month,3-4 rides in a typical day,2-4 days a month,1-2 rides in a typical day,,,,
2025,2025,127,58e752ba9545ebf7add9b43d7205144f72539c818c76341f89611566ab07e717,37.760999999999996,-98.36200000000001,b9ad8be6896c5bf2e3e72e773516d1d7911573c33e92e9b20544cb4f9b4ff13a,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,8 or more days a month,3-4 rides in a typical day,8 or more days a month,1-2 rides in a typical day,,,,
2025,2025,111,7175e198898c5f0ba68002abe5c33fb14796723e78011694518f55e665ed0953,33.8658,-118.28930000000001,1bd40f32f179f589604b8c5ce7c98f245da1456225ba20692e14c9bc6a7124fb,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,2-4 days a month,1-2 rides in a typical day,2-4 days a month,1-2 rides in a typical day,,,,
2025,2025,121,c86b7983a2d6da398320ac535e99499ae58f59842b0c4812b2d30598d203c5ca,52.128099999999996,-0.9978,da338b6255829f37c0b15b3eb7305edf61ff79a55f4009646a21f15feee1f0e1,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,8 or more days a month,3-4 rides in a typical day,2-4 days a month,3-4 rides in a typical day,,,,
2025,2025,141,418b9b19f801ddd9d96933dc471ad4d0ada8c0894b4683bb2a472634c4d7b024,33.5088,-79.276,39c71c1496e7a0223fa78a11a39fb94c9bd542b60b9835bad6c71e04d8c985f5,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,4-8 days a month,3-4 rides in a typical day,4-8 days a month,3-4 rides in a typical day,,,,
2025,2025,122,97315bca01244ecf619ece520dac92f0577a5ed29b1153659215e7e671816fd6,36.2586,-86.5942,a6be4ac159b038e6b53160afc668852bcc6da4cca25de4bae3aab83cc483ef78,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Never,1-2 rides in a typical day,Never,1-2 rides in a typical day,,,,
2025,2025,118,b151b31998a59390370fef3d23b5d5d9e074bbb66f284cd5c0cc5a197acf7984,39.990300000000005,-73.1614,b84da9244bc40253f8033bc91bb13f3c5081e69f45392c285bb267e08da2cc98,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,0-1 days a month,1-2 rides in a typical day,2-4 days a month,1-2 rides in a typical day,,,,
2025,2025,142,514db03574f8c387122988c9a8e596ef9e25d92a13c897d17f396cefed619615,33.3897,-96.5622,653c90b7ddf25ea2f906f8b0191b3ad45defad3d7b12db0e62c5bdf01fd51dc2,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,4-8 days a month,1-2 rides in a typical day,2-4 days a month,1-2 rides in a typical day,,,,
2025,2025,72,ed36b71d4426c3cae4611b4182913a1a3152936b2aa619df2c1fc7c250261def,37.1881,-91.1624,721370b37fe5dcec328251fc066ada21bb9e17724420f9bc3392bce880fb2c32,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Never,1-2 rides in a typical day,Never,1-2 rides in a typical day,,,,
2025,2025,159,023587bc883a8151b1a6825d136d01345055867652f9ffa1e2589f0ab5759ab1,46.8422,-122.4057,2ff0a9ce8058a553d54c6b0e76fd5c463e5e760eb77d9fb88139f815753a6bbf,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,2-4 days a month,1-2 rides in a typical day,2-4 days a month,1-2 rides in a typical day,,,,
2025,2025,166,8efaeab0fba6a577495871ee89578fbc1befa2ce41558da3f018b61755623b7f,39.8258,-74.9942,fed6f5638289a28859c9481746f14a0b397c7a7ec7233e1d48a7aecb3533a38f,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,2-4 days a month,1-2 rides in a typical day,0-1 days a month,1-2 rides in a typical day,,,,
2025,2025,132,5ba8bbc2e68d610bf94bb9fdd2a8ac7d82746cd16abedc22e68826cfe0072581,37.4528,-77.61,8312fd61bd323a93df5b3fe6d112f157b7f2a8a5ebaa37269f811eb4f3a73a75,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,8 or more days a month,1-2 rides in a typical day,4-8 days a month,1-2 rides in a typical day,,,,
2025,2025,120,34a5398035f9a605a65ea72b017fc9c58c67925353963c1de2589339c127b455,37.690999999999995,-97.122,844eb500254d91c59c46b13b4e2c9bb9c2bd487a3dfea1240570cee252a1b229,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,2-4 days a month,3-4 rides in a typical day,4-8 days a month,5-6 rides in a typical day,,,,
2025,2025,157,61f0955481fb19b800e94ada517559ff0caf31f9106c9f1480911d60893e40b6,42.8213,-90.6123,d6b8f91f1ef8af43817f23dd88988f6e914ce0de8b386d748aa89d0434168f84,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,2-4 days a month,1-2 rides in a typical day,Never,1-2 rides in a typical day,,,,
2025,2025,112,6aa544e2285ee7d60a7d16128750e002a49e67e4b2bc6e6d3046c92e2d1cdffa,27.913600000000002,-80.5338,62faa876fdb62afd705635c6e391f5a93c242a1f6847b955507f5621bfea46cf,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,8 or more days a month,1-2 rides in a typical day,8 or more days a month,1-2 rides in a typical day,,,,
2025,2025,116,ad69346b6070e33333f74e5bc194ef2e19be23c263cc4bdc4608146f095e61d7,25.420099999999998,-79.73280000000001,7f46795118cb1b4298784da138d49291cb3d0a15280330dcc1c43cfae11585ff,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,2-4 days a month,1-2 rides in a typical day,0-1 days a month,1-2 rides in a typical day,,,,
2025,2025,206,308b69c5c5bf60d403221bbd51129dffc48f89ac6c0cc932503c4b1988a03317,37.231700000000004,-80.43339999999999,16de84084b9fa11f26ac309c29d6fe7e89d68a8c268edea598e0a1a1f84baf39,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,4-8 days a month,1-2 rides in a typical day,2-4 days a month,1-2 rides in a typical day,,,,
2025,2025,191,69efa496fd8deae1315c28da7fa8d05788b020ee5a3fe64c9689328a7edf3688,33.3868,-80.2801,0fdc6e687766a7396a68cc21eb12884503ee2d031b7e1ab775849c700747fb74,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,8 or more days a month,1-2 rides in a typical day,4-8 days a month,1-2 rides in a typical day,,,,
2025,2025,186,3a857ba5bd0ca9804501e6ee7a27395fe89c30ab1539c259ff0db853d5623792,34.695800000000006,-117.5193,11a8acd6b682cba72759531d67320de19d6f671131ec26dae4f8c459caf26c97,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,2-4 days a month,1-2 rides in a typical day,2-4 days a month,1-2 rides in a typical day,,,,
2025,2025,194,4a4c8c76c893c57a32debabedcdb114ed4afc866ca3cc0baf8ad72506f1b1a79,42.1847,-82.1882,0689a39664b0e2e55ae5b5447565c2e80567e5c4b0394474c5d04975810725c6,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,0-1 days a month,1-2 rides in a typical day,0-1 days a month,1-2 rides in a typical day,,,,
2025,2025,126,ec086c09c8882bb1d0250019bb1fa4b869a7551f3eb21a203329ff1ab5d13b25,56.7119,-3.2119,af444fbf978485752f02f6b2c60b0973747235bbc71a3e4331251a1250826863,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,2-4 days a month,1-2 rides in a typical day,Never,,,,,
2025,2025,214,232ab341bdf5ceec416d7f4fb379ed3e23d9a71a41e9e1edb2ba05345fefae30,38.961,-74.3552,6b74f0ba4a90e5fb700c9806519f2192ae08ed9fb1b6c568540332fc0f32a96b,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,4-8 days a month,1-2 rides in a typical day,4-8 days a month,1-2 rides in a typical day,,,,
2025,2025,186,ffbbeb51b6e92c0053a0f158fac0b9936f659c322c8dfb2502f4ac23408f3bc1,37.271,-98.032,860b4f42915964f37f735d818db9e76ac1b1e138647cfe1bb7f05f8997d4c114,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-8 days a month,1-2 rides in a typical day,0-1 days a month,5-6 rides in a typical day,,,,
2025,2025,159,f43261fae44b559117a97b8c0f3ea11270d1acd4438c76ac6e95e3703e11bee9,37.190999999999995,-98.302,6bed08570e64a871d7187ded22fee599cf3e8216c0b9b650670a049bb2bfffbe,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,0-1 days a month,3-4 rides in a typical day,4-8 days a month,5-6 rides in a typical day,,,,
2025,2025,171,bb1248b950aefb0c41a992d648aa4e691e9ddacba74160e96b7f4e8c84f56eac,33.5758,-118.2793,c44eb13c5642daf65d048836bd7bae186ce770aa8508e9f368f3cdc8fe7eb2f8,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,2-4 days a month,3-4 rides in a typical day,4-8 days a month,1-2 rides in a typical day,,,,
2025,2025,71,cb61b69cf9b4a63dfedadeb7be2cc826ecc053a099d2174c3ff555872b8573d6,41.3493,-84.36019999999999,0c2d35c36faca185b01b0e0414f7b7c70ac67c86e6cc05853ddde494d5050954,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Never,1-2 rides in a typical day,Never,1-2 rides in a typical day,,,,
